link,tanggal
https://www.rri.co.id/index.php/papua-barat/kesehatan/230701/kemenkes-hadirkan-sertifikat-vaksin-meningitis-satu-sehat-mobile,2023-05-09
https://www.kompas.com/tren/read/2023/05/08/131500865/cara-daftar-dan-cek-vaksin-meningitis-secara-online-lewat-aplikasi-satu,2023-05-08
https://mediaindonesia.com/humaniora/579345/sertifikat-vaksin-meningitis-bisa-diunduh-di-satu-sehat-mobile-ini-caranya,2023-05-07
https://sehatnegeriku.kemkes.go.id/baca/rilis-media/20230507/1642912/hore-sertifikat-vaksin-meningitis-bisa-diunduh-di-satusehat-mobile/,2023-05-07
https://nakita.grid.id/read/023776912/begini-cara-mengatasi-crash-setelah-update-aplikasi-satu-sehat-bisa-dengan-3-langkah-ini?page=all,2023-05-05
https://www.liputan6.com/health/read/5264049/masyarakat-bisa-tes-covid-19-mandiri-hasilnya-dilaporkan-ke-aplikasi-satu-sehat,2023-04-18
https://pontianak.tribunnews.com/2023/04/17/beredar-jasa-tembak-vaksin-covid-19-untuk-mudik-lebaran-2023-ini-penjelasan-kemenkes,2023-04-17
https://www.kompas.com/tren/read/2023/04/17/103000865/jelang-mudik-marak-jasa-tembak-vaksin-covid-19-tanpa-suntik-diklaim-tembus,2023-04-17
https://nasional.kompas.com/read/2023/04/14/20353141/kemenkes-targetkan-seluruh-fasyankes-sudah-terintegrasi-satu-sehat-tahun-ini,2023-04-14
https://www.cnbcindonesia.com/tech/20230410050352-37-428413/aplikasi-satu-sehat-tak-bisa-dibuka-bisa-coba-dua-cara-ini,2023-04-10
https://www.finansialku.com/lifestyle/cara-mengecek-sertifikat-vaksin/,2023-04-06
https://sehatnegeriku.kemkes.go.id/baca/rilis-media/20230402/3342712/str-dokter-seumur-hidup-syarat-pemenuhan-kompetensi-tetap-berlaku/,2023-04-02
https://diskes.baliprov.go.id/validasi-data-kesehatan-dengan-satusehat/,2023-03-30
https://www.cnbcindonesia.com/news/20230328204002-4-425270/jreng-data-aplikasi-satu-sehat-dikelola-pihak-ketiga-siapa,2023-03-28
https://www.jpnn.com/news/aplikasi-cepat-sehat-dukung-pemerintah-kembangkan-satu-sehat-mobile,2023-03-24
https://www.tribunnews.com/kesehatan/2023/03/20/aplikasi-satu-sehat-dinilai-bisa-tingkatkan-kualitas-layanan-kesehatan-digital-di-indonesia,2023-03-20
https://health.detik.com/berita-detikhealth/d-6625319/cara-melihat-sertifikat-vaksin-terbaru-di-aplikasi-satusehat,2023-03-17
https://unair.ac.id/rekam-medis-elektronik-tantangan-optimalkan-layanan-kesehatan/,2023-03-17
https://video.kompas.com/watch/270376/cara-cek-tiket-vaksin-booster-di-aplikasi-satu-sehat,2023-03-15
https://www.liputan6.com/cek-fakta/read/5232438/waspada-pesan-berantai-minta-update-aplikasi-satu-sehat-catut-nama-kemenkes,2023-03-14
https://video.kompas.com/watch/267777/cara-download-sertifikat-vaksin-di-aplikasi-satu-sehat,2023-03-14
https://teknologi.solopos.com/sertifikasi-vaksin-anak-belum-masuk-satu-sehat-begini-cara-menambahkannya-1572412,2023-03-12
https://www.krjogja.com/nasional/1242455171/ini-syarat-naik-kereta-api-per-maret-2023-disesuaikan-lewat-satu-sehat,2023-03-11
https://telset.id/how-to/cara-cek-sertifikat-vaksin-covid-19-satu-sehat/,2023-03-10
https://video.kompas.com/watch/265420/begini-cara-cek-sertifikat-vaksin-di-aplikasi-satu-sehat,2023-03-10
https://www.cnbcindonesia.com/tech/20230310130319-37-420625/alasan-tidak-bisa-tambah-nik-di-satu-sehat-coba-cara-ini,2023-03-10
https://nextren.grid.id/read/013722564/inilah-cara-mengatasi-aplikasi-satu-sehat-stuck-di-logo-mudah-kok,2023-03-10
https://www.liputan6.com/health/read/5229223/satu-sehat-mobile-gantikan-pedulilindungi-se-satgas-covid-19-bakal-berubah,2023-03-10
https://www.medcom.id/teknologi/tips-trik/GNlMjdgb-cara-ubah-nomor-hp-di-aplikasi-satu-sehat-mobile,2023-03-10
